"Betweenness","BottleNeck","Closeness","ClusteringCoefficient","Degree","DMNC","EcCentricity","EPC","MCC","MNC","Radiality","Stress"
"0.0","1.0","11.87226","0.0","1.0","0.0","0.08704","4.244","1.0","1.0","8.70406","0.0"
"0.0","1.0","11.87226","0.0","1.0","0.0","0.08704","3.956","1.0","1.0","8.70406","0.0"
"0.0","1.0","11.87226","0.0","1.0","0.0","0.08704","4.117","1.0","1.0","8.70406","0.0"
"0.0","1.0","8.5377","0.0","1.0","0.0","0.10638","2.186","1.0","1.0","7.76838","0.0"
"0.0","1.0","9.54102","0.0","1.0","0.0","0.07979","2.846","1.0","1.0","7.8119","0.0"
"86.0","2.0","12.53892","0.0","2.0","0.0","0.08704","4.487","2.0","1.0","8.74758","86.0"
"0.0","1.0","8.5434","0.0","1.0","0.0","0.07979","2.397","1.0","1.0","7.33317","0.0"
"0.0","1.0","8.5434","0.0","1.0","0.0","0.07979","2.355","1.0","1.0","7.33317","0.0"
"0.0","1.0","9.79127","0.0","1.0","0.0","0.10638","2.818","1.0","1.0","8.33414","0.0"
"0.0","1.0","8.57251","0.0","1.0","0.0","0.07979","2.779","1.0","1.0","6.57157","0.0"
"0.0","1.0","9.37587","0.0","1.0","0.0","0.08704","3.063","1.0","1.0","7.33317","0.0"
"0.0","1.0","8.2592","0.0","1.0","0.0","0.08704","2.229","1.0","1.0","7.02853","0.0"
"0.0","1.0","10.21548","0.0","1.0","0.0","0.11968","2.744","1.0","1.0","8.85638","0.0"
"1044.0","45.0","17.87302","0.0","8.0","0.0","0.09574","7.345","8.0","1.0","9.63975","1044.0"
"0.0","1.0","7.93918","0.0","1.0","0.0","0.07979","2.388","1.0","1.0","6.44101","0.0"
"86.0","2.0","10.04253","0.0","2.0","0.0","0.08704","3.417","2.0","1.0","7.37669","86.0"
"0.0","1.0","7.37163","0.0","1.0","0.0","0.07365","2.206","1.0","1.0","5.6794","0.0"
"0.0","1.0","9.77579","0.0","1.0","0.0","0.09574","3.13","1.0","1.0","7.9207","0.0"
"86.0","2.0","10.44246","0.0","2.0","0.0","0.09574","3.338","2.0","1.0","7.96422","86.0"
"866.0","45.0","13.02619","0.0","3.0","0.0","0.11968","4.487","3.0","1.0","9.26983","866.0"
"826.0","45.0","13.40794","0.0","4.0","0.0","0.10638","4.821","4.0","1.0","8.85638","826.0"
"0.0","1.0","9.54102","0.0","1.0","0.0","0.07979","2.761","1.0","1.0","7.8119","0.0"
"86.0","2.0","12.53892","0.0","2.0","0.0","0.08704","4.367","2.0","1.0","8.74758","86.0"
"0.0","1.0","8.57251","0.0","1.0","0.0","0.07979","2.745","1.0","1.0","6.57157","0.0"
"86.0","2.0","9.23918","0.0","2.0","0.0","0.07979","3.101","2.0","1.0","6.61509","86.0"
"610.0","9.0","12.90913","0.0","4.0","0.0","0.09574","4.833","4.0","1.0","8.26886","610.0"
"330.0","5.0","11.62587","0.0","4.0","0.0","0.08704","4.322","4.0","1.0","7.50725","330.0"
"0.0","1.0","9.54102","0.0","1.0","0.0","0.07979","2.84","1.0","1.0","7.8119","0.0"
"86.0","2.0","12.53892","0.0","2.0","0.0","0.08704","4.521","2.0","1.0","8.74758","86.0"
"170.0","3.0","11.00559","0.0","3.0","0.0","0.08704","3.462","3.0","1.0","8.26886","170.0"
"246.0","4.0","12.60635","0.0","2.0","0.0","0.09574","4.298","2.0","1.0","9.1175","246.0"
"0.0","1.0","9.40559","0.0","1.0","0.0","0.08704","2.571","1.0","1.0","8.09478","0.0"
"86.0","2.0","12.10635","0.0","2.0","0.0","0.09574","4.014","2.0","1.0","9.03046","86.0"
"0.0","1.0","10.30768","0.0","1.0","0.0","0.07979","3.363","1.0","1.0","7.98598","0.0"
"406.0","6.0","14.37226","0.0","4.0","0.0","0.08704","5.448","4.0","1.0","8.92166","406.0"
"0.0","1.0","10.63254","0.0","1.0","0.0","0.10638","2.928","1.0","1.0","8.96518","0.0"
"1176.0","45.0","16.11587","0.0","4.0","0.0","0.10638","6.26","4.0","1.0","9.92263","1176.0"
"1006.0","45.0","14.27976","0.0","3.0","0.0","0.11968","5.027","3.0","1.0","9.90087","1006.0"
"0.0","1.0","8.59532","0.0","1.0","0.0","0.07365","2.593","1.0","1.0","7.09381","0.0"
"86.0","2.0","10.97435","0.0","2.0","0.0","0.07979","3.823","2.0","1.0","8.0295","86.0"
"0.0","1.0","8.59532","0.0","1.0","0.0","0.07365","2.378","1.0","1.0","7.09381","0.0"
"86.0","2.0","10.97435","0.0","2.0","0.0","0.07979","3.65","2.0","1.0","8.0295","86.0"
"0.0","1.0","1.0","0.0","1.0","0.0","0.04255","1.452","1.0","1.0","0.12766","0.0"
"0.0","1.0","1.0","0.0","1.0","0.0","0.04255","1.452","1.0","1.0","0.12766","0.0"
"86.0","2.0","10.68571","0.0","2.0","0.0","0.11968","3.058","2.0","1.0","8.70406","86.0"
"986.0","45.0","13.54286","0.0","3.0","0.0","0.13678","4.541","3.0","1.0","9.79207","986.0"
"978.0","45.0","13.30238","0.0","3.0","0.0","0.13678","4.433","3.0","1.0","9.59623","978.0"
