node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
MEgrey60,1.0,0.0,1.0,1.0,7.364,1.0,0.16667,9.23333,4.06061,0.0,0.0,0.0,
ICB Response,1.0,0.0,1.0,1.0,7.11,1.0,0.14286,9.29286,4.06061,0.0,0.0,0.0,
MEorange,2.0,0.0,1.0,2.0,11.831,3.0,0.2,12.01667,5.0303,25.5,56.0,0.0,
MEsteelblue,1.0,0.0,1.0,1.0,9.857,1.0,0.2,10.96667,4.84848,0.0,0.0,0.0,
MEpink,3.0,0.0,1.0,3.0,15.227,3.0,0.2,14.11667,5.51515,61.66667,92.0,0.0,
MEdarkorange,2.0,0.0,1.0,2.0,12.499,1.0,0.16667,11.68333,4.90909,4.36667,16.0,0.0,
MEskyblue,3.0,0.0,1.0,3.0,14.146,3.0,0.2,13.53333,5.36364,51.56667,96.0,0.0,
MEred,4.0,0.0,1.0,4.0,16.047,8.0,0.25,15.08333,5.69697,132.93333,240.0,0.0,
MEdarkturquoise,2.0,0.0,1.0,2.0,11.556,2.0,0.2,12.36667,5.18182,29.5,52.0,0.0,
MEyellow,5.0,0.0,1.0,5.0,17.81,14.0,0.2,16.2,5.81818,183.06667,298.0,0.0,
MEpurple,6.0,0.0,1.0,6.0,17.474,4.0,0.25,16.5,5.81818,195.63333,364.0,0.0,
MEgrey,3.0,0.0,1.0,3.0,15.664,3.0,0.2,14.03333,5.48485,80.23333,162.0,0.0,
MEsaddlebrown,4.0,0.0,1.0,4.0,13.342,3.0,0.16667,13.1,5.0303,91.33333,152.0,0.0,
MEgreenyellow,4.0,0.0,1.0,4.0,16.044,6.0,0.2,14.65,5.54545,110.1,200.0,0.0,
MEtan,4.0,0.0,1.0,4.0,13.394,2.0,0.2,12.96667,5.0303,86.0,154.0,0.0,
MEviolet,1.0,0.0,1.0,1.0,6.607,1.0,0.16667,9.18333,4.12121,0.0,0.0,0.0,
MElightgreen,5.0,0.0,1.0,5.0,16.531,9.0,0.25,15.91667,5.78788,218.3,332.0,0.0,
MEgreen,3.0,0.0,1.0,3.0,11.936,2.0,0.2,12.65,5.09091,78.33333,122.0,0.0,
MElightcyan,3.0,0.0,1.0,3.0,12.946,1.0,0.16667,12.68333,5.06061,42.33333,66.0,0.0,
MEmidnightblue,4.0,0.0,1.0,4.0,16.028,5.0,0.2,15.03333,5.63636,110.4,202.0,0.0,
MEwhite,2.0,0.30779,2.0,2.0,11.855,1.0,0.2,12.01667,5.06061,0.0,0.0,1.0,
MEroyalblue,2.0,0.30779,2.0,2.0,11.558,1.0,0.2,12.01667,5.06061,0.0,0.0,1.0,
MEdarkgrey,7.0,0.30779,2.0,7.0,18.283,13.0,0.25,17.75,6.0,260.93333,454.0,0.04762,
MEdarkred,3.0,0.0,1.0,3.0,14.38,2.0,0.2,13.73333,5.39394,61.2,112.0,0.0,
MEdarkgreen,3.0,0.0,1.0,3.0,14.829,1.0,0.16667,12.93333,5.12121,24.23333,46.0,0.0,
MEsalmon,3.0,0.0,1.0,3.0,14.923,3.0,0.2,13.43333,5.27273,48.13333,108.0,0.0,
MEbrown,3.0,0.0,1.0,3.0,15.421,1.0,0.2,13.7,5.42424,30.46667,84.0,0.0,
MEpaleturquoise,1.0,0.0,1.0,1.0,7.725,1.0,0.14286,9.14286,3.9697,0.0,0.0,0.0,
MEturquoise,3.0,0.0,1.0,3.0,13.837,1.0,0.16667,12.71667,5.0303,36.33333,90.0,0.0,
MElightyellow,3.0,0.0,1.0,3.0,14.168,4.0,0.2,13.36667,5.30303,68.93333,110.0,0.0,
MEblue,4.0,0.0,1.0,4.0,13.918,2.0,0.16667,12.83333,4.93939,75.33333,148.0,0.0,
MEmagenta,4.0,0.0,1.0,4.0,15.854,1.0,0.2,13.98333,5.36364,57.83333,138.0,0.0,
MEcyan,3.0,0.0,1.0,3.0,13.835,1.0,0.2,12.98333,5.21212,38.6,106.0,0.0,
MEblack,4.0,0.0,1.0,4.0,16.873,4.0,0.2,15.23333,5.63636,118.73333,242.0,0.0,
