Feature 1	Feature 2
MEblack	MEcyan
MEblack	MEmagenta
MEblue	MElightyellow
MEblue	MEturquoise
MEblue	MEpaleturquoise
MEbrown	MEsalmon
MEcyan	MEturquoise
MEdarkgreen	MEdarkred
MEdarkgrey	MEroyalblue
MEdarkgrey	MEwhite
MEdarkgrey	MEmidnightblue
MEdarkgrey	MEsalmon
MEdarkgrey	MEblack
MEdarkred	MElightcyan
MEgreen	MElightgreen
MEgreen	MEviolet
MEgreen	MEtan
MEgreenyellow	MEblack
MEgreenyellow	MEsaddlebrown
MEgreenyellow	MEdarkgreen
MEgrey	MEpurple
MEgrey	MEyellow
MElightcyan	MEdarkturquoise
MElightgreen	MEred
MElightgreen	MEdarkturquoise
MElightgreen	MEskyblue
MElightgreen	MEyellow
MElightyellow	MEcyan
MEmagenta	MEdarkgreen
MEmagenta	MEdarkorange
MEmidnightblue	MEdarkorange
MEmidnightblue	MEred
MEpink	MEgreenyellow
MEpurple	MEpink
MEpurple	MEbrown
MEpurple	MEsteelblue
MEpurple	MEdarkgrey
MEpurple	MEdarkred
MEred	MEmagenta
MEred	MEorange
MEsaddlebrown	MElightcyan
MEsaddlebrown	MEorange
MEsaddlebrown	ICB Response
MEsalmon	MEblue
MEskyblue	MEtan
MEskyblue	MEpink
MEtan	MEgrey60
MEtan	MEgrey
MEturquoise	MEmidnightblue
MEwhite	MEroyalblue
MEyellow	MEdarkgrey
MEyellow	MEbrown
MEyellow	MElightyellow
