"ACTIVATION","activityRatio","ALL_EDGE","canonicalName","description","EdgeBetweenness","enabled","increment","interaction","name","ORIG_TYPE","PATHWAY","scenario","selected","shared interaction","shared name","TYPE","UNDO_PROT"
,"0.25",,,,"393.3333333333332",,,"interacts with","MEblack (interacts with) MEcyan",,,,"false","interacts with","MEblack (interacts with) MEcyan",,
,"0.25",,,,"496.0",,,"interacts with","MEblack (interacts with) MEmagenta",,,,"false","interacts with","MEblack (interacts with) MEmagenta",,
,"0.25",,,,"89.0",,,"interacts with","MEblue (interacts with) MElightyellow",,,,"false","interacts with","MEblue (interacts with) MElightyellow",,
,"0.25",,,,"270.66666666666663",,,"interacts with","MEblue (interacts with) MEturquoise",,,,"false","interacts with","MEblue (interacts with) MEturquoise",,
,"0.25",,,,"175.0",,,"interacts with","MEblue (interacts with) MEpaleturquoise",,,,"false","interacts with","MEblue (interacts with) MEpaleturquoise",,
,"0.25",,,,"272.83333333333337",,,"interacts with","MEbrown (interacts with) MEsalmon",,,,"false","interacts with","MEbrown (interacts with) MEsalmon",,
,"0.25",,,,"670.3333333333335",,,"interacts with","MEcyan (interacts with) MEturquoise",,,,"false","interacts with","MEcyan (interacts with) MEturquoise",,
,"0.25",,,,"712.0",,,"interacts with","MEdarkgreen (interacts with) MEdarkred",,,,"false","interacts with","MEdarkgreen (interacts with) MEdarkred",,
,"0.25",,,,"150.0",,,"interacts with","MEdarkgrey (interacts with) MEroyalblue",,,,"false","interacts with","MEdarkgrey (interacts with) MEroyalblue",,
,"0.25",,,,"150.0",,,"interacts with","MEdarkgrey (interacts with) MEwhite",,,,"false","interacts with","MEdarkgrey (interacts with) MEwhite",,
,"0.25",,,,"384.1666666666666",,,"interacts with","MEdarkgrey (interacts with) MEmidnightblue",,,,"false","interacts with","MEdarkgrey (interacts with) MEmidnightblue",,
,"0.25",,,,"326.83333333333326",,,"interacts with","MEdarkgrey (interacts with) MEsalmon",,,,"false","interacts with","MEdarkgrey (interacts with) MEsalmon",,
,"0.25",,,,"396.3333333333332",,,"interacts with","MEdarkgrey (interacts with) MEblack",,,,"false","interacts with","MEdarkgrey (interacts with) MEblack",,
,"0.25",,,,"587.5",,,"interacts with","MEdarkred (interacts with) MElightcyan",,,,"false","interacts with","MEdarkred (interacts with) MElightcyan",,
,"0.25",,,,"600.0",,,"interacts with","MEgreen (interacts with) MElightgreen",,,,"false","interacts with","MEgreen (interacts with) MElightgreen",,
,"0.25",,,,"24.0",,,"interacts with","MEgreen (interacts with) MEviolet",,,,"false","interacts with","MEgreen (interacts with) MEviolet",,
,"0.25",,,,"168.0",,,"interacts with","MEgreen (interacts with) MEtan",,,,"false","interacts with","MEgreen (interacts with) MEtan",,
,"0.25",,,,"442.0",,,"interacts with","MEgreenyellow (interacts with) MEblack",,,,"false","interacts with","MEgreenyellow (interacts with) MEblack",,
,"0.25",,,,"548.3333333333335",,,"interacts with","MEgreenyellow (interacts with) MEsaddlebrown",,,,"false","interacts with","MEgreenyellow (interacts with) MEsaddlebrown",,
,"0.25",,,,"163.5",,,"interacts with","MEgreenyellow (interacts with) MEdarkgreen",,,,"false","interacts with","MEgreenyellow (interacts with) MEdarkgreen",,
,"0.25",,,,"825.6666666666669",,,"interacts with","MEgrey (interacts with) MEpurple",,,,"false","interacts with","MEgrey (interacts with) MEpurple",,
,"0.25",,,,"490.83333333333354",,,"interacts with","MEgrey (interacts with) MEyellow",,,,"false","interacts with","MEgrey (interacts with) MEyellow",,
