"Betweenness","BottleNeck","Closeness","ClusteringCoefficient","Degree","DMNC","EcCentricity","EPC","MCC","MNC","Radiality","Stress"
"5.0","2.0","4.45","0.0","2.0","0.0","0.2","3.415","2.0","1.0","5.11111","10.0"
"16.0","2.0","4.11667","0.0","2.0","0.0","0.2","2.585","2.0","1.0","4.77778","18.0"
"2.0","1.0","4.28333","0.0","2.0","0.0","0.16667","3.291","2.0","1.0","4.77778","4.0"
"28.0","3.0","4.75","0.0","2.0","0.0","0.25","3.17","2.0","1.0","5.44444","32.0"
"40.0","10.0","5.66667","0.0","3.0","0.0","0.33333","3.935","3.0","1.0","5.88889","46.0"
"28.0","8.0","5.58333","0.0","3.0","0.0","0.25","3.957","3.0","1.0","5.77778","38.0"
"8.0","2.0","4.75","0.0","2.0","0.0","0.25","3.377","2.0","1.0","5.44444","8.0"
"13.0","2.0","5.28333","0.0","3.0","0.0","0.2","3.838","3.0","1.0","5.44444","20.0"
"0.0","1.0","3.1","0.0","1.0","0.0","0.16667","1.995","1.0","1.0","3.88889","0.0"
"4.0","1.0","4.61667","0.0","2.0","0.0","0.2","3.359","2.0","1.0","5.22222","4.0"
