Gene 1	Gene 2
RAD54L	MRPS15
RAD54L	XRCC3
TIMM17A	ATP5F1
RARB	TRIM24
WNK4	PTPRG
MRPL20	ATPIF1
MRPL20	CCDC43
B4GALNT4	MOXD1
B4GALNT4	RARB
B4GALNT4	WNK4
HMGB1	NOP2
LMBRD1	UBXN7
MLF1	ZNF888
RFX5	SMAP2
RFX5	RBMS2
RFX5	ST6GAL1
FAM76B	ERCC6L2
NFYC	PRPF38A
NFYC	MLH1
NFYC	KIAA0319L
RBMS2	URI1
CELF2	MAP2K3
ATPIF1	ICB Response
ATPIF1	HMGB1
ATPIF1	LMBRD1
MRPS15	MRPL20
MRPS15	CTPS1
MLH1	TMEM258
SMAP2	NFYC
SMAP2	CELF2
SMAP2	DENND2D
CORO7	RFX5
PRPF38A	RAD54L
PRPF38A	TMEM8A
UBXN7	PDIA3P1
UBXN7	EIF4A2
NPAS3	P3H2
XRCC3	WWC1
ICB Response	MLF1
ICB Response	NPAS3
ICB Response	FAM76B
ICB Response	ZNF462
ICB Response	B4GALNT4
ICB Response	KIAA0391
ICB Response	CDON
