"","Sample Identifier","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEpaleturquoise","MEpink","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEskyblue","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow","ICB Response"
"1","Sample1",-0.0852908625552774,-0.0469845844088029,-0.0720802147318227,-0.0841526511481071,-0.130601763802026,-0.0452279779110548,-0.0398207344201571,-0.0514121588706358,-0.122260436744661,-0.131700578693741,-0.0544634313630023,-0.0480855200044348,-0.0625039868067526,-0.058721301546776,-0.134626557973336,-0.0498456868983237,-0.082781650465753,-0.0738520860642151,0.271657113394998,-0.0206638674798651,-0.121795974471233,-0.0961058494462079,-0.0984184400155317,-0.0860584807055629,-0.0685688678391566,-0.0650317211578918,-0.0694567430632734,-0.0325607612259342,-0.146157131339731,-0.0708183482798819,-0.00907064024716611,-0.0522433277362354,-0.123494224012807,0
"2","Sample10",-0.0299033594470928,0.0040860165258314,0.0235253347322476,-0.031386544970745,-0.0450035156060276,0.0319327039282914,0.0464731440966872,-0.0196508671539064,6.69136846762619e-05,0.0158312176692235,-0.00699538970383895,-0.00455536395682221,0.0700365191132082,-0.0336252866742639,0.0611992123202811,-0.0466129762428251,0.0121445839179647,-0.0314974735898969,0.0306032680973302,-0.0309399648953574,-0.00665091183467026,-0.0102384410989604,-0.0026143333193388,-0.0177875932830226,-0.0360703840136747,-0.0136906840614206,0.0205425661425909,0.0136768834586178,0.0198126117472676,-0.0112786591344209,-0.0279865029057282,0.011887415361021,0.327105753814392,1
"3","Sample100",0.476009279062119,-0.0948795486374761,-0.0142999686667139,0.087295133429323,0.296110588158213,-0.041764378135543,-0.000172861322637594,0.0229349909093071,0.0351892145044492,0.0785904380472811,0.0325888684670984,-0.00835418034764335,0.0335930482042814,-0.00663683774353191,0.0595222600891783,-0.0243763314689375,0.120684168005228,-0.0249114681668017,-0.123549236160346,-0.0666355044026603,0.0957328937682621,0.0215455107885487,0.0477577699607174,-0.0570742774357073,0.142284895529988,-0.0647584296445991,0.0175324056521737,0.00339916670237438,0.0770817453782412,-0.0347881100014122,0.101954406234967,-0.0665573362709596,-0.0499708304031762,1
"4","Sample106",-0.0329491980943505,-0.0127709202591191,-0.0208017410821104,-0.0528551840154726,-0.0593634767444671,-0.0182882100263241,-0.0278803338509596,-0.0466649755331139,-0.0419608202143056,-0.0366949766520667,-0.0360269200348906,-0.0163452301708668,-0.00824070331437632,-0.0441329938653805,-0.0326014508285728,-0.0395490566325573,-0.0347391370591716,-0.0599925297854562,0.00760917217797436,-0.0451122605828538,-0.0497327415714473,-0.0392073678640934,-0.0448492646602137,-0.0206925867031493,0.00355920839387851,-0.0280788720724241,-0.0327842563667215,-0.0135339817294392,-0.0432016426073506,-0.0284497924189938,-0.0274721708252269,-0.0227592296593908,0.0801578982433193,1
"5","Sample107",-0.108657508532319,-0.222604860571253,0.901150200607248,-0.15017993901791,-0.166375839282206,-0.0910028269902746,-0.123958445757629,-0.0751931895365767,-0.126192931176151,-0.163899075170558,-0.0753121183174442,-0.0810373197039806,-0.0749919963077246,-0.0745659061106353,-0.0990393524472616,-0.12820880128458,-0.110820883246122,-0.11316775694018,0.176358527301429,-0.12888769200034,-0.165874141518272,-0.178527619359563,-0.0972643846823942,-0.154320792005852,-0.0538074558315703,-0.147508940598709,-0.115391179202862,-0.0778932477026373,-0.239706407401334,-0.159068775232607,-0.0269425772877615,-0.0846680374720383,-0.230676381437892,1
"6","Sample108",-0.102986444535935,-0.0974798168479732,-0.105132845420362,-0.121944035020251,-0.172114792012236,-0.0953301774505138,-0.0998591684875319,-0.0701989743763869,-0.149794971406559,-0.1803665845482,-0.082375722198838,-0.085384044459948,-0.112244441078817,-0.0758542833167731,-0.180428189277777,-0.0262224787398413,-0.135147106857848,-0.0648089991391981,-0.00103577885619762,-0.0491962892640135,-0.168854829879587,-0.134291852909875,-0.13749178739364,-0.157822407057265,-0.0665025249963027,-0.0950356205810938,-0.130300013247335,0.0073814772588227,-0.205943454750343,-0.0910638634909511,-0.0357743531449458,-0.0557378409138784,-0.22792250133601,0
"7","Sample11",-0.051593767388075,-0.0249289274203218,-0.0192028658710513,-0.0633009453470373,-0.050212054482227,0.0181451338627556,0.00367911008758636,-0.0169916587405252,0.00186912155116045,0.00752731946966706,-0.0349209743639139,-0.0270340928162995,-0.0337376981205434,-0.036446984434185,-0.0101414630953996,-0.0270277954665203,-0.0367381860584301,0.00522042786027482,0.0465479609393755,-0.0331527213663825,-0.0219396826977591,-0.0391146820199645,-0.0147756865270533,0.018392245356316,-0.0279821566168219,-0.0317707864584969,0.0197333487979143,-0.028843103673314,-0.00358139188368888,-0.028746112478677,-0.0246611175761371,-0.0156978502329171,0.0487612061024604,0
"8","Sample112",0.0275408627777904,-0.0912795672425164,-0.018250328133433,-0.0249658799426143,0.132648971976171,-0.05231139611397,-0.0105765074662099,0.0183611630550868,0.0490370266237035,0.152347757073725,0.00493686424182641,-0.00691318308731812,0.0119490951622627,0.0413422097174561,0.0784884186092606,-0.0501277972303437,0.0599545617639234,-0.0475646398786881,-0.0668736436922754,-0.0572389987671045,-6.24714688263018e-05,-0.0195246812626597,0.0259631550824805,-0.0202655144554459,-0.0365230551841627,-0.0466710281203086,0.0388706032365814,0.014323786038121,0.0948321188502333,-0.0691355925438953,0.0593504515995691,-0.056124451955479,-0.0265599860942902,0
"9","Sample116",-0.0291175070863642,0.116342601755111,0.0427752809611643,0.0770841191416619,0.0137350468666527,-0.000171851619098363,0.0769801035068321,0.0203022446947542,0.00540067125274997,0.0466002330886752,0.0294737216370474,0.0567334314212087,0.103564351153194,0.0455547214811868,0.0579561965643254,0.0661259749191023,0.0442981123798191,0.0301223185385931,-0.0803371750687802,0.0144139818571472,0.0286260612181945,0.0614580960491643,0.0398693723474792,-0.0218431471786062,-0.0207425465152018,0.0642808071854502,0.013657686788975,-0.00238596717779084,0.16461944321575,0.0654960296768695,-0.00641854410844905,0.0030772177702422,0.0826731066624999,0
"10","Sample117",0.102170403912185,-0.0253088340208908,-0.00436836213783567,0.0683326291924691,0.117027513288622,0.0600588686659509,0.0287822823936773,0.0263614070538216,0.0754024032296773,0.0608173617790486,0.0567706526638318,0.0186381576262684,-0.0209003310299025,0.0179779459095765,0.0462557481664521,-0.0426256172076205,0.0420607217605828,-0.0136151093227605,-0.0973673775245774,-0.0197462380852071,0.117896168862263,0.0306550088512566,0.053924928915471,0.113536855663028,0.316840401545631,-0.0160369224122861,0.0522167338541351,-0.00936894399316302,0.0950465651692521,-0.0173997443524427,0.070515408943022,0.0597057832360871,0.0174565103147373,0
