Sample Identifier	ST6GAL1	RAD54L	TIMM17A	NOP2	RARB	KIAA0391	WNK4	ATP5F1	MRPL20	B4GALNT4	CCDC43	HMGB1	LMBRD1	TRIM24	MLF1	CYP51A1	TMEM8A	RFX5	FAM76B	NFYC	URI1	DENND2D	RBMS2	P3H2	CELF2	PDIA3P1	ATPIF1	PTPRG	MRPS15	MLH1	ZNF462	MAP2K3	MOXD1	TMEM258	MMP9	CDON	SMAP2	CORO7	PRPF38A	ERCC6L2	ACP5	KIAA0319L	UBXN7	NPAS3	EIF4A2	WWC1	ZNF888	CTPS1	CERS4	XRCC3	ICB Response
Sample100	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1.0
Sample106	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1.0
Sample107	-1	0	-1	-1	0	-1	1	-1	1	0	1	1	-1	-1	0	0	1	1	-1	0	-1	0	-1	0	0	-1	1	-1	1	0	-1	-1	0	0	0	-1	-1	1	0	-1	-1	1	-1	0	-1	0	-1	0	-1	-1	1.0
Sample108	-1	0	-1	0	0	-1	0	-1	-1	0	-1	-1	0	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	0	-1	0	-1	1	-1	-1	0	0	0	0	-1	-1	-1	0	0	0	0	1	1	0	-1	0	0	0	0.0
Sample10	0	1	1	1	0	0	0	1	1	0	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1.0
Sample112	0	0	0	0	0	-1	0	-1	0	1	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0.0
Sample116	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0
Sample117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0
Sample11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Sample121	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Sample125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	1	-1	0	1	0	1	0	0	0	-1	0	0	0	0	-1	1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	1.0
Sample126	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	1.0
Sample127	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1.0
Sample130	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	-1	1	0	0	0	0	0	0	0	1	-1	0	0	0	0	1	0	0	-1	-1	0	0	1	0	1	0	0	0	0	1	0.0
Sample131	-1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	-1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	-1	1	1	0	0	0	0	0	1	-1	-1	1.0
Sample132	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Sample133	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0.0
Sample134	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0
Sample135	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	1.0
Sample137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	-1	1	-1	1	1	0	0	0	0	0	0	-1	0	-1	0	0	0	1.0
Sample13	0	1	0	0	1	0	0	0	0	1	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	1	0	0	1	-1	0	1	0	0	-1	1	0	0	0	0	0	0	0	0.0
Sample140	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	-1	0.0
Sample141	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	1	1	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	-1	1	0	0	0	-1	-1	0	0	-1	0	-1	1	0	0	0	-1	0	0	0	1.0
Sample142	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	-1	0	1	0	0	1	1	0	0	1	0	1	1	0	1	-1	0	0.0
Sample143	-1	0	-1	-1	0	-1	0	-1	-1	0	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	-1	0	-1	0	-1	0	1	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	1	0	1	0	-1	-1	-1	-1	0.0
Sample144	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	-1	0	0	0	1	0	1	0	0	0	0	-1	1	0	1	1.0
Sample145	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1.0
Sample146	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	1	1.0
Sample147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	-1	0	0	0	1.0
Sample148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	-1	0	0	0	1.0
Sample149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0.0
Sample14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0
Sample150	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1.0
Sample154	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0.0
Sample155	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0
Sample156	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	1	0	0	0	0	-1	0	0	0	0	1	0	0	0	-1	0	0	-1	0	0	0	1	0	0	0	0.0
Sample158	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	-1	0	0	-1	0	-1	0	0	1	0	1	1.0
Sample159	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Sample15	0	0	1	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0
Sample162	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	-1	0	1	-1	0.0
Sample163	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0.0
Sample165	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	-1	0	0	0	0.0
Sample166	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	-1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1.0
Sample167	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0.0
Sample168	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0
Sample169	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Sample170	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0.0
Sample172	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0.0
Sample173	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0.0
Sample179	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	-1	0	0	0	0	-1	0	0	0	0	-1	0	-1	0	1.0
Sample17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Sample181	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1.0
Sample183	1	0	0	0	0	-1	0	-1	0	0	-1	-1	1	0	0	0	-1	0	0	0	1	0	0	1	0	-1	-1	0	1	0	0	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	1	0	0	-1	0	-1	0.0
Sample184	-1	1	0	1	0	0	0	0	1	0	1	1	-1	0	0	0	0	1	0	0	0	0	-1	1	0	1	1	0	1	1	0	0	0	-1	1	0	0	1	0	-1	1	1	-1	0	0	1	-1	1	-1	1	1.0
Sample185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	-1	0	0.0
Sample187	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Sample188	0	0	0	0	1	0	0	0	1	1	0	0	-1	1	0	-1	0	0	0	0	1	0	0	0	0	-1	0	1	0	0	0	0	1	1	0	0	0	-1	1	0	0	0	0	0	0	0	1	0	0	0	0.0
Sample18	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0
Sample1	0	0	0	-1	0	0	0	0	-1	0	0	-1	1	0	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	-1	0	0	-1	0	-1	0	1	0	0	-1	-1	-1	-1	0	-1	0	0	0	0	0	0	1	0	0.0
